# MIR backend coverage baseline — generated 2026-08-23 from origin/main 267debf50f0
# format: <backend>	<variant>   (one line per handled case arm)
MirToLlvm_core	VhdlVarAssign
MirToLlvm_core	Yield
isel_x86_64	AcquireSnapshot
isel_x86_64	Aggregate
isel_x86_64	Alloc
isel_x86_64	Await
isel_x86_64	BinOp
isel_x86_64	Bitcast
isel_x86_64	Call
isel_x86_64	CallIndirect
isel_x86_64	Cast
isel_x86_64	CheckedBinOp
isel_x86_64	CommitUpdates
isel_x86_64	Compose
isel_x86_64	ConditionProbe
isel_x86_64	Const
isel_x86_64	Copy
isel_x86_64	CreatePromise
isel_x86_64	DebugValue
isel_x86_64	DecisionProbe
isel_x86_64	Drop
isel_x86_64	FreezeRegion
isel_x86_64	GetElementPtr
isel_x86_64	GetField
isel_x86_64	GpuAtomicCas
isel_x86_64	GpuAtomicOp
isel_x86_64	GpuBarrier
isel_x86_64	GpuBlockDim
isel_x86_64	GpuBlockId
isel_x86_64	GpuGlobalId
isel_x86_64	GpuGridDim
isel_x86_64	GpuKernelDef
isel_x86_64	GpuLaunch
isel_x86_64	GpuLocalId
isel_x86_64	GpuMemFence
isel_x86_64	GpuSharedAlloc
isel_x86_64	HostGpuLaneBegin
isel_x86_64	HostGpuLaneEnd
isel_x86_64	InlineAsm
isel_x86_64	Intrinsic
isel_x86_64	LayerConnect
isel_x86_64	Load
isel_x86_64	LoadGlobal
isel_x86_64	MaskFromCmp
isel_x86_64	MaskedAdd
isel_x86_64	MaskedFma
isel_x86_64	MaskedMul
isel_x86_64	MirSimdBinop
isel_x86_64	MirSimdCmp
isel_x86_64	MirSimdGather
isel_x86_64	MirSimdLoad
isel_x86_64	MirSimdMaskOp
isel_x86_64	MirSimdPermute
isel_x86_64	MirSimdReduce
isel_x86_64	MirSimdScalableVsetvl
isel_x86_64	MirSimdScatter
isel_x86_64	MirSimdSelect
isel_x86_64	MirSimdShuffle
isel_x86_64	MirSimdSplat
isel_x86_64	MirSimdStore
isel_x86_64	MirSimdTernop
isel_x86_64	MirSimdUnop
isel_x86_64	MirWarpActivesMask
isel_x86_64	MirWarpBallot
isel_x86_64	MirWarpReduce
isel_x86_64	MirWarpShfl
isel_x86_64	MirWarpSync
isel_x86_64	Move
isel_x86_64	Nop
isel_x86_64	Parallel
isel_x86_64	PipeForward
isel_x86_64	PredicatedAdd
isel_x86_64	PredicatedFma
isel_x86_64	PredicatedMul
isel_x86_64	Receive
isel_x86_64	Ref
isel_x86_64	ResultMatchSemantic
isel_x86_64	ScalableVecFence
isel_x86_64	Send
isel_x86_64	SetField
isel_x86_64	SimdAddF32x4
isel_x86_64	SimdAddF32x8
isel_x86_64	SimdAddF64x4
isel_x86_64	SimdAddI32x4
isel_x86_64	SimdAddI32x8
isel_x86_64	SimdAndI32x4
isel_x86_64	SimdAndI32x8
isel_x86_64	SimdDivF32x4
isel_x86_64	SimdDivF32x8
isel_x86_64	SimdDivF64x4
isel_x86_64	SimdFmaF32x4
isel_x86_64	SimdFmaF32x8
isel_x86_64	SimdFmaF64x4
isel_x86_64	SimdHaddF32x4
isel_x86_64	SimdHmaxF32x4
isel_x86_64	SimdHminF32x4
isel_x86_64	SimdMulF32x4
isel_x86_64	SimdMulF32x8
isel_x86_64	SimdMulF64x4
isel_x86_64	SimdMulI32x4
isel_x86_64	SimdMulI32x8
isel_x86_64	SimdOrI32x4
isel_x86_64	SimdOrI32x8
isel_x86_64	SimdShlI32x4
isel_x86_64	SimdShlI32x8
isel_x86_64	SimdShrI32x4
isel_x86_64	SimdShrI32x8
isel_x86_64	SimdSubF32x4
isel_x86_64	SimdSubF32x8
isel_x86_64	SimdSubF64x4
isel_x86_64	SimdSubI32x4
isel_x86_64	SimdSubI32x8
isel_x86_64	SimdXorI32x4
isel_x86_64	SimdXorI32x8
isel_x86_64	Spawn
isel_x86_64	Store
isel_x86_64	StoreGlobal
isel_x86_64	TransferIn
isel_x86_64	TransferOut
isel_x86_64	UnaryOp
isel_x86_64	VhdlConcat
isel_x86_64	VhdlPortMap
isel_x86_64	VhdlProcess
isel_x86_64	VhdlResize
isel_x86_64	VhdlSignalAssign
isel_x86_64	VhdlSlice
isel_x86_64	VhdlVarAssign
isel_x86_64	Yield
isel_aarch64	Alloc
isel_aarch64	BinOp
isel_aarch64	Call
isel_aarch64	Cast
isel_aarch64	ConditionProbe
isel_aarch64	Const
isel_aarch64	Copy
isel_aarch64	DecisionProbe
isel_aarch64	GetField
isel_aarch64	Intrinsic
isel_aarch64	Load
isel_aarch64	Move
isel_aarch64	Nop
isel_aarch64	SetField
isel_aarch64	Store
isel_aarch64	UnaryOp
mir_interpreter	AcquireSnapshot
mir_interpreter	Aggregate
mir_interpreter	Alloc
mir_interpreter	Await
mir_interpreter	BinOp
mir_interpreter	Bitcast
mir_interpreter	Call
mir_interpreter	CallIndirect
mir_interpreter	Cast
mir_interpreter	CheckedBinOp
mir_interpreter	CommitUpdates
mir_interpreter	Compose
mir_interpreter	ConditionProbe
mir_interpreter	Const
mir_interpreter	Copy
mir_interpreter	CreatePromise
mir_interpreter	DebugValue
mir_interpreter	DecisionProbe
mir_interpreter	Drop
mir_interpreter	FreezeRegion
mir_interpreter	GetElementPtr
mir_interpreter	GetField
mir_interpreter	GpuAtomicCas
mir_interpreter	GpuAtomicOp
mir_interpreter	GpuBarrier
mir_interpreter	GpuBlockDim
mir_interpreter	GpuBlockId
mir_interpreter	GpuGlobalId
mir_interpreter	GpuGridDim
mir_interpreter	GpuKernelDef
mir_interpreter	GpuLaunch
mir_interpreter	GpuLocalId
mir_interpreter	GpuMemFence
mir_interpreter	GpuSharedAlloc
mir_interpreter	HostGpuLaneBegin
mir_interpreter	HostGpuLaneEnd
mir_interpreter	InlineAsm
mir_interpreter	Intrinsic
mir_interpreter	LayerConnect
mir_interpreter	Load
mir_interpreter	LoadGlobal
mir_interpreter	MaskFromCmp
mir_interpreter	MaskedAdd
mir_interpreter	MaskedFma
mir_interpreter	MaskedMul
mir_interpreter	MirSimdBinop
mir_interpreter	MirSimdCmp
mir_interpreter	MirSimdGather
mir_interpreter	MirSimdLoad
mir_interpreter	MirSimdMaskOp
mir_interpreter	MirSimdPermute
mir_interpreter	MirSimdReduce
mir_interpreter	MirSimdScalableVsetvl
mir_interpreter	MirSimdScatter
mir_interpreter	MirSimdSelect
mir_interpreter	MirSimdShuffle
mir_interpreter	MirSimdSplat
mir_interpreter	MirSimdStore
mir_interpreter	MirSimdTernop
mir_interpreter	MirSimdUnop
mir_interpreter	MirWarpActivesMask
mir_interpreter	MirWarpBallot
mir_interpreter	MirWarpReduce
mir_interpreter	MirWarpShfl
mir_interpreter	MirWarpSync
mir_interpreter	Move
mir_interpreter	Nop
mir_interpreter	Parallel
mir_interpreter	PipeForward
mir_interpreter	PredicatedAdd
mir_interpreter	PredicatedFma
mir_interpreter	PredicatedMul
mir_interpreter	Receive
mir_interpreter	Ref
mir_interpreter	ResultMatchSemantic
mir_interpreter	ScalableVecFence
mir_interpreter	Send
mir_interpreter	SetField
mir_interpreter	SimdAddF32x4
mir_interpreter	SimdAddF32x8
mir_interpreter	SimdAddF64x4
mir_interpreter	SimdAddI32x4
mir_interpreter	SimdAddI32x8
mir_interpreter	SimdAndI32x4
mir_interpreter	SimdAndI32x8
mir_interpreter	SimdDivF32x4
mir_interpreter	SimdDivF32x8
mir_interpreter	SimdDivF64x4
mir_interpreter	SimdFmaF32x4
mir_interpreter	SimdFmaF32x8
mir_interpreter	SimdFmaF64x4
mir_interpreter	SimdHaddF32x4
mir_interpreter	SimdHmaxF32x4
mir_interpreter	SimdHminF32x4
mir_interpreter	SimdMulF32x4
mir_interpreter	SimdMulF32x8
mir_interpreter	SimdMulF64x4
mir_interpreter	SimdMulI32x4
mir_interpreter	SimdMulI32x8
mir_interpreter	SimdOrI32x4
mir_interpreter	SimdOrI32x8
mir_interpreter	SimdShlI32x4
mir_interpreter	SimdShlI32x8
mir_interpreter	SimdShrI32x4
mir_interpreter	SimdShrI32x8
mir_interpreter	SimdSubF32x4
mir_interpreter	SimdSubF32x8
mir_interpreter	SimdSubF64x4
mir_interpreter	SimdSubI32x4
mir_interpreter	SimdSubI32x8
mir_interpreter	SimdXorI32x4
mir_interpreter	SimdXorI32x8
mir_interpreter	Spawn
mir_interpreter	Store
mir_interpreter	StoreGlobal
mir_interpreter	TransferIn
mir_interpreter	TransferOut
mir_interpreter	UnaryOp
mir_interpreter	VhdlConcat
mir_interpreter	VhdlPortMap
mir_interpreter	VhdlProcess
mir_interpreter	VhdlResize
mir_interpreter	VhdlSignalAssign
mir_interpreter	VhdlSlice
mir_interpreter	VhdlVarAssign
mir_interpreter	Yield
