_read_u16_le	private helper	src-only	src=9 test=0	src/compiler/70.backend/introspection/elf_symbols.spl;src/compiler/80.driver/smf_binary_helpers.spl;src/lib/common/image/image_info.spl;src/lib/common/pe_coff_header.spl;src/lib/common/wine_dll_file_bytes.spl;src/lib/common/wine_pe_loader_runtime.spl;src/lib/nogc_async_mut/fs_driver/fat32_parsers.spl;src/os/kernel/loader/elf_loader.spl
_read_u32	private helper	mixed	src=10 test=1	src/lib/common/image/image_info.spl;src/lib/nogc_sync_mut/composition/cli_command_wire.spl;src/lib/nogc_sync_mut/composition/cli_provider_wire.spl;src/lib/nogc_sync_mut/composition/codec.spl;src/lib/nogc_sync_mut/composition/sci_reader.spl;src/lib/skia/entity/glyph_outline.spl;src/os/services/launcher/launcher_app_launch_wire.spl;src/os/services/vfs/vfs_service.spl
_read_u32_le	private helper	mixed	src=11 test=1	src/compiler/70.backend/introspection/elf_symbols.spl;src/compiler/80.driver/smf_binary_helpers.spl;src/lib/common/image/image_info.spl;src/lib/common/pe_coff_header.spl;src/lib/common/wine_dll_file_bytes.spl;src/lib/common/wine_pe_loader_runtime.spl;src/lib/nogc_async_mut/fs_driver/fat32_parsers.spl;src/os/kernel/loader/elf_loader.spl
_read_u64	private helper	src-only	src=7 test=0	src/lib/nogc_sync_mut/composition/codec.spl;src/lib/nogc_sync_mut/composition/sci_reader.spl;src/os/kernel/fd_io.spl;src/os/services/launcher/launcher_app_launch_wire.spl;src/os/services/vfs/vfs_service.spl;src/os/services/wm/wm_codec.spl;src/os/sosix/fs/completion_receive_transport.spl
_read_u64_le	private helper	mixed	src=10 test=22	src/compiler/70.backend/introspection/elf_symbols.spl;src/compiler/80.driver/smf_binary_helpers.spl;src/lib/common/wine_dll_view_relocation.spl;src/lib/common/wine_pe_loader_runtime.spl;src/lib/gc_async_mut/slang/model_executor/model_loader/safetensors.spl;src/os/crypto/argon2.spl;src/os/kernel/loader/elf_loader.spl;src/os/services/nvfs/core/send.spl
_reject	private helper	src-only	src=6 test=0	src/app/office/sheets/view_layout.spl;src/lib/common/contracts/execution/simpleos_performance_v1.spl;src/os/kernel/arch/x86_64/scheduler_dispatch.spl;src/os/services/evidence/umbrella_admission.spl;src/os/sosix/fs/completion_receive_transport.spl;src/os/sosix/fs/service_vfs_backend_v1.spl
_reject_v1	private helper	src-only	src=2 test=0	src/os/sosix/fs/registry_lifecycle_v1.spl;src/os/sosix/fs/service_buffer_registry_v1.spl
_resolve_surface_id	private helper	src-only	src=2 test=0	src/app/ui.web/wm_bridge.spl;src/os/services/llm/ui_access_resolver.spl
_result	private helper	mixed	src=54 test=6	src/app/hal_provider/pure_worker_v1.spl;src/lib/common/ui/wine_simpleos_window_bridge.spl;src/lib/common/ui/wine_x11_adapter.spl;src/lib/common/wine_advapi32_registry.spl;src/lib/common/wine_advapi32_service.spl;src/lib/common/wine_dll_entrypoint_lifecycle.spl;src/lib/common/wine_dll_file_bytes.spl;src/lib/common/wine_dll_file_probe.spl
_sc_is_zero	private helper	src-only	src=2 test=0	src/os/crypto/ecdsa_p521.spl;src/os/crypto/p384.spl
_scalar_mul_affine	private helper	src-only	src=2 test=0	src/os/crypto/ecdh_p256.spl;src/os/crypto/p384_point.spl
_sha256_k	private helper	src-only	src=2 test=0	src/lib/common/crypto/sha256.spl;src/os/crypto/sha256.spl
_sha512_k	private helper	src-only	src=2 test=0	src/lib/common/crypto/sha512.spl;src/os/crypto/sha512.spl
_sin	private helper	src-only	src=7 test=0	src/lib/blink/paint/effects.spl;src/lib/common/engine/audio/sound_synth.spl;src/lib/common/engine/math2d.spl;src/lib/common/engine/math3d.spl;src/lib/gc_async_mut/game2d/transform.spl;src/lib/nogc_sync_mut/engine/component/mesh.spl;src/lib/nogc_sync_mut/gpu/engine3d/types3d.spl
_slice	private helper	mixed	src=5 test=3	src/lib/nogc_sync_mut/compression/brotli/encoder.spl;src/os/crypto/ml_dsa.spl;src/os/sosix/fs/service_vfs_backend_v1.spl;src/os/tls13/psk.spl;src/os/tls13/server.spl;test/01_unit/app/spipe/link_extraction_spec.spl;test/01_unit/os/crypto/chacha20_poly1305_spec.spl;test/unit/os/crypto/chacha20_poly1305_spec.spl
_split_fields	private helper	src-only	src=2 test=0	src/os/tools/shell/awk/awk_tool.spl;src/os/tools/shell/numfmt/numfmt_tool.spl
_sqrt	private helper	src-only	src=7 test=0	src/lib/common/engine/math2d.spl;src/lib/common/engine/math3d.spl;src/lib/gc_async_mut/gpu/engine3d/backend_cpu.spl;src/lib/nogc_sync_mut/gpu/engine3d/types3d.spl;src/lib/skia/backend/cpu/shaders.spl;src/lib/skia/feature/stroke/dash.spl;src/lib/skia/feature/stroke/expand.spl
_status_text	private helper	src-only	src=5 test=0	src/app/llm_caret/messaging/application/profile_service.spl;src/app/web_dashboard/server.spl;src/lib/common/ui/widget_draw_ir.spl;src/os/_QemuRunner/runner_targets.spl;src/os/services/procfs_filesystem.spl
_table	private helper	mixed	src=11 test=6	src/lib/common/wine_kernel32_atom_table.spl;src/lib/common/wine_kernel32_critical_section.spl;src/lib/common/wine_kernel32_fls.spl;src/lib/common/wine_kernel32_module_loader.spl;src/lib/common/wine_kernel32_sync_event.spl;src/lib/common/wine_kernel32_tls.spl;src/lib/common/wine_nt_file_io.spl;src/lib/common/wine_nt_thread_wait.spl
_tan	private helper	src-only	src=2 test=0	src/lib/common/engine/math3d.spl;src/lib/nogc_sync_mut/gpu/engine3d/types3d.spl
_to_affine	private helper	src-only	src=2 test=0	src/os/crypto/ecdh_p256.spl;src/os/crypto/p384_point.spl
