name	class	decls	subsystems	variant_sets	declarations
H2StreamState	DIVERGENT	4	2	2	./lib/gc_async_mut/gpu/browser_engine/net/h2_stream.spl:13 ./lib/nogc_async_mut/http/h2/h2_stream.spl:16 ./lib/nogc_async_mut/http_server/h2_stream.spl:24 ./os/http2/h2_connection.spl:50
HttpStatus	DIVERGENT	4	2	2	./app/io/http_ffi.spl:113 ./app/io/http_sffi.spl:113 ./lib/nogc_sync_mut/http_server/types.spl:61 ./lib/nogc_sync_mut/io/http_sffi.spl:113
Severity	DIVERGENT	4	2	2	./compiler/00.common/diagnostics/severity.spl:6 ./compiler/00.common/error.spl:16 ./compiler_rust/lib/std/src/tooling/compiler/severity.spl:9 ./compiler_rust/lib/std/src/verification/lean/verification_diagnostics.spl:26
VersionConstraint	DIVERGENT	4	2	2	./app/pkg/version.spl:84 ./lib/gc_async_mut/package/types.spl:32 ./lib/nogc_async_mut/package/types.spl:32 ./lib/nogc_sync_mut/package/types.spl:32
AdviceKind	DIVERGENT	3	2	2	./compiler/00.common/structural_contracts/aop.spl:24 ./compiler/10.frontend/core/aop.spl:28 ./lib/nogc_sync_mut/src/aop.spl:12
DependencyType	DIVERGENT	3	2	3	./compiler/60.mir_opt/mir_opt/auto_vectorize_analysis.spl:15 ./compiler_rust/lib/std/src/mcp/simple_lang/dependencies.spl:13 ./compiler_rust/lib/std/src/tooling/core/dependency.spl:53
HirStmtKind	DIVERGENT	3	2	3	./compiler/20.hir/hir_definitions.spl:693 ./compiler_rust/lib/std/src/hir/lower.spl:323 ./compiler_rust/lib/std/src/hir/types.spl:421
Literal	DIVERGENT	3	2	2	./app/interpreter/ast_types.spl:104 ./lib/common/parser/ast.spl:56 ./lib/gc_async_mut/pure/ast.spl:58
MatchResult	DIVERGENT	3	2	3	./compiler_rust/lib/std/src/tooling/compiler/pattern_matching.spl:111 ./lib/common/doctest/matcher.spl:8 ./lib/common/target_spec.spl:10
OpenMode	DIVERGENT	3	2	3	./compiler_rust/lib/std/src/file/__init__.spl:158 ./compiler_rust/lib/std/src/host/common/io/types.spl:213 ./lib/nogc_async_mut/slang/nvfs_client/__init__.spl:20
OptLevel	DIVERGENT	3	2	3	./compiler/10.frontend/core/backend_types.spl:55 ./compiler/60.mir_opt/mir_opt/mod.spl:91 ./compiler_rust/lib/std/src/tooling/deployment/_Optimization/binary_optimizer.spl:160
RefKind	DIVERGENT	3	2	3	./compiler/70.backend/linker/symbol_analysis.spl:25 ./compiler_rust/lib/std/src/mcp/simple_lang/symbol_table.spl:11 ./compiler_rust/lib/std/src/tooling/compiler/symbol_analysis.spl:10
ScopeKind	DIVERGENT	3	2	2	./app/interpreter/collections/persistent_symbol_table.spl:59 ./compiler/20.hir/hir_types.spl:187 ./compiler/35.semantics/macro_check/hygiene.spl:82
SessionState	DIVERGENT	3	2	2	./app/mcp/debug_session.spl:8 ./lib/nogc_async_mut/mcp/debug_session.spl:8 ./lib/nogc_async_mut/mcp/session.spl:9
SymbolVisibility	DIVERGENT	3	2	3	./compiler/70.backend/linker/symbol_analysis.spl:13 ./compiler/99.loader/settlement/linker.spl:16 ./compiler_rust/lib/std/src/tooling/compiler/symbol_analysis.spl:42
SymKind	DIVERGENT	3	2	2	./compiler/00.common/dependency/macro_import.spl:25 ./lib/nogc_async_mut/dependency_tracker/macro_import.spl:15 ./lib/nogc_sync_mut/dependency_tracker/macro_import.spl:15
Value	DIVERGENT	3	2	3	./compiler/70.backend/backend_types.spl:178 ./lib/gc_async_mut/pure/evaluator.spl:13 ./lib/nogc_sync_mut/src/di.spl:575
ActorPriority	DIVERGENT	2	2	2	./app/interpreter/async_runtime/actor_scheduler.spl:79 ./lib/nogc_async_mut/actor_scheduler.spl:13
Arch	DIVERGENT	2	2	2	./compiler/70.backend/linker/smf_enums.spl:62 ./lib/nogc_sync_mut/replay/types.spl:10
Backend	DIVERGENT	2	2	2	./compiler/10.frontend/parser_types_expr.spl:109 ./lib/nogc_sync_mut/src/dl/config.spl:93
