   5721 0	OK
      4 1	error: compile failed (<P>): semantic: <P>: HIR lowering: Cannot infer element type for index into 'empty tuple while lowering negotiate_hea
      4 1	error: compile failed (<P>): parse: in "<P> val binding: reserved keyword 'match' cannot be used as a val binding name 
      4 1	error: compile failed (<P>): parse: in "<P> Unexpected token: expected LParen, found Lt 
      4 1	error: compile failed (<P>): parse: in "<P> Unexpected token: expected identifier, found Lt 
      4 1	error: compile failed (<P>): parse: in "<P> Unexpected token: expected expression, found Slash 
      4 1	error: compile failed (<P>): parse: in "<P> Unexpected token: expected expression, found Eof 
      4 1	error: compile failed (<P>): parse: in "<P> Unexpected token: expected comma or newline, found Identifier { name: "f<N>", pattern: Immutable
      4 1	error: compile failed (<P>): parse: in "<P> Unexpected token: expected Colon, found LBrace 
      4 1	error: compile failed (<P>): lint: error: runtime family `nogc_sync_mut` must not import `std.gpu.engine<N>d.sffi_dispatch<N>d` (nogc_import
      4 1	error: compile failed (<P>): lint: error: runtime family `nogc_sync_mut` must not import `std.gpu.engine<N>d.ffi_dispatch` (nogc_imports_gc_
      4 1	error: compile failed (<P>): lint: error: runtime family `nogc_sync_mut` must not import `std.gpu.engine<N>d.ffi_dispatch<N>d` (nogc_imports
      4 1	error: compile failed (<P>): lint: error: runtime family `nogc_sync_mut` must not import `std.gc_async_mut.gpu.context` (nogc_imports_gc_fam
      4 1	error: compile failed (<P>): lint: error: runtime family `nogc_async_mut` must not import `std.nogc_sync_mut.http_client` (higher_layer_runt
      4 1	error: compile failed (<P>): lint: error: runtime family `nogc_async_mut` must not import `std.nogc_sync_mut.env.variables` (higher_layer_ru
      4 1	error: compile failed (<P>): lint: error: runtime family `nogc_async_mut` must not import `std.nogc_async_mut.gpu.vulkan_icd_sffi` (nogc_imp
      4 1	error: compile failed (<P>): codegen: Module error: codegen: <N> function body/bodies failed to compile: [PersistentVec.map, PersistentVec.f
      4 1	error: compile failed (<P>): codegen: Module error: codegen: <N> function body/bodies failed to compile: [PersistentTrie.filter, PersistentT
      4 1	error: compile failed (<P>): codegen: Module error: codegen: <N> function body/bodies failed to compile: [PersistentSortedMap.filter, Persis
      3 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: upx_is_available") 
      3 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: try") 
      3 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: True") 
      3 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: sys") 
      3 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: split_lines") 
      3 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: sort_values") 
      3 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: request_count") 
      3 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: request") 
      3 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: readln") 
      3 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: pure_ed<N>_verify") 
      3 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: process") 
      3 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: parse_leak_check_args") 
      3 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: parse_intern_specs") 
      3 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: Module") 
      3 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: KeyExtractor") 
      3 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: j") 
      3 1	error: compile failed (<P>): semantic: <P>: Undefined("undefined identifier: io_runtime") 
