file	line	annotation	has_reason
src/compiler_rust/lib/std/src/mcp/simple_lang/parser.spl	5	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/mcp/simple_lang/parser.spl	264	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/mcp/simple_lang/symbol_table.spl	6	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/mcp/simple_lang/symbol_table.spl	228	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/mcp/simple_lang/types.spl	5	@allow(primitive_api, bare_bool)	yes
src/compiler_rust/lib/std/src/ml/torch/__init__.spl	4	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/ml/torch/__init__.spl	99	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/ml/torch/__init__.spl	104	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/ml/torch/__init__.spl	115	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/parser/treesitter/edits/__init__.spl	4	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/parser/treesitter/edits/__init__.spl	137	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/repl/__init__.spl	7	@allow(primitive_api, bare_bool)	yes
src/compiler_rust/lib/std/src/repl/__init__.spl	18	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/repl/__init__.spl	29	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/repl/__init__.spl	46	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/startup/__init__.spl	34	@allow(primitive_api)	yes
src/compiler_rust/lib/std/src/startup/__init__.spl	68	@allow(primitive_api)	yes
