symbol	class	scoped_callsites	declaring_file
monoio_udp_recv_from	rust_source_feature_gated	1	src/compiler_rust/lib/std/src/net/udp.spl
monoio_udp_send	rust_source_feature_gated	1	src/compiler_rust/lib/std/src/net/udp.spl
monoio_udp_send_to	rust_source_feature_gated	1	src/compiler_rust/lib/std/src/net/udp.spl
monoio_udp_set_broadcast	rust_source_feature_gated	1	src/compiler_rust/lib/std/src/net/udp.spl
monoio_udp_set_multicast_ttl	rust_source_feature_gated	1	src/compiler_rust/lib/std/src/net/udp.spl
native_alloc	GENUINELY_MISSING	2	src/compiler_rust/lib/std/src/core_nogc/arena.spl
native_close	GENUINELY_MISSING	1	src/compiler_rust/lib/std/src/file/mmap.spl
native_file_exists_sync	GENUINELY_MISSING	3	src/compiler_rust/lib/std/src/host/common/io/fs_sffi.spl
native_file_flush_sync	DEAD_DECLARATION	0	src/compiler_rust/lib/std/src/host/common/io/fs_sffi.spl
native_file_get_size	GENUINELY_MISSING	1	src/compiler_rust/lib/std/src/host/common/io/fs_sffi.spl
native_file_pread	GENUINELY_MISSING	1	src/compiler_rust/lib/std/src/host/common/io/fs_sffi.spl
native_file_pwrite	GENUINELY_MISSING	1	src/compiler_rust/lib/std/src/host/common/io/fs_sffi.spl
native_file_read_sync	GENUINELY_MISSING	1	src/compiler_rust/lib/std/src/host/common/io/fs_sffi.spl
native_file_seek_sync	GENUINELY_MISSING	7	src/compiler_rust/lib/std/src/host/common/io/fs_sffi.spl
native_file_sync_sync	DEAD_DECLARATION	0	src/compiler_rust/lib/std/src/host/common/io/fs_sffi.spl
native_file_write_sync	GENUINELY_MISSING	1	src/compiler_rust/lib/std/src/host/common/io/fs_sffi.spl
native_free	GENUINELY_MISSING	2	src/compiler_rust/lib/std/src/core_nogc/arena.spl
